date;close
11/07/2018;445,59
12/07/2018;431,12
13/07/2018;432,97
14/07/2018;434,42
15/07/2018;450,34
16/07/2018;480,20
17/07/2018;499,83
18/07/2018;479,85
19/07/2018;468,91
20/07/2018;449,13
21/07/2018;461,13
22/07/2018;457,98
23/07/2018;449,73
24/07/2018;478,39
25/07/2018;471,99
26/07/2018;462,98
27/07/2018;469,94
28/07/2018;468,75
29/07/2018;466,30
30/07/2018;456,22
31/07/2018;431,71
1/08/2018;419,87
2/08/2018;411,36
3/08/2018;417,76
4/08/2018;407,32
5/08/2018;409,37
6/08/2018;405,70
7/08/2018;378,32
8/08/2018;355,57
9/08/2018;364,33
10/08/2018;332,28
11/08/2018;318,62
12/08/2018;318,55
13/08/2018;284,03
14/08/2018;278,31
15/08/2018;281,24
16/08/2018;286,80
17/08/2018;317,57
18/08/2018;294,85
19/08/2018;300,53
20/08/2018;271,61
21/08/2018;281,78
22/08/2018;270,37
23/08/2018;276,66
24/08/2018;282,04
25/08/2018;278,22
26/08/2018;274,81
27/08/2018;287,90
28/08/2018;296,21
29/08/2018;289,20
30/08/2018;284,57
31/08/2018;282,06
1/09/2018;295,77
2/09/2018;295,12
3/09/2018;289,42
4/09/2018;285,73
5/09/2018;228,27
6/09/2018;229,52
7/09/2018;215,69
8/09/2018;197,23
9/09/2018;195,99
10/09/2018;197,20
11/09/2018;185,15
12/09/2018;183,03
13/09/2018;211,27
14/09/2018;208,87
15/09/2018;221,63
16/09/2018;220,12
17/09/2018;196,04
18/09/2018;208,39
19/09/2018;209,78
20/09/2018;224,76
21/09/2018;247,69
22/09/2018;240,79
23/09/2018;244,51
24/09/2018;228,05
25/09/2018;219,20
26/09/2018;214,21
27/09/2018;229,09
28/09/2018;221,56
29/09/2018;231,32
30/09/2018;232,82
1/10/2018;230,96
2/10/2018;225,59
3/10/2018;220,02
4/10/2018;222,20
5/10/2018;228,17
6/10/2018;225,05
7/10/2018;226,02
8/10/2018;229,23
9/10/2018;227,67
10/10/2018;225,20
11/10/2018;189,83
12/10/2018;195,71
13/10/2018;199,30
14/10/2018;194,92
15/10/2018;210,80
16/10/2018;209,67
17/10/2018;207,75
18/10/2018;202,25
19/10/2018;203,01
20/10/2018;204,97
21/10/2018;205,00
22/10/2018;203,64
23/10/2018;203,29
24/10/2018;202,58
25/10/2018;201,70
26/10/2018;202,43
27/10/2018;203,29
28/10/2018;204,54
29/10/2018;195,92
30/10/2018;196,65
31/10/2018;198,02
1/11/2018;198,97
2/11/2018;201,11
3/11/2018;199,90
4/11/2018;211,54
5/11/2018;209,55
6/11/2018;219,34
7/11/2018;217,44
8/11/2018;211,69
9/11/2018;209,52
10/11/2018;212,04
11/11/2018;211,66
12/11/2018;210,31
